id,country,city,line,start_year,end_year,length,tunnel,stations,cost,currency,real_cost_USD
7329,SG,Singapore,Circle Line Stage 6,2017,2025,4,4,3,4850,SGD,5480.5
7330,FR,Paris,Line 12 to Aubervilliers,2012,2021,1.7,1.7,2,175,EUR,218.875
7331,FR,Paris,Line 1 extension,2020,2030,4.9,4.9,3,910,EUR,1183
7336,UK,London,Jubilee line extension,1993,1999,16,12.8,11,3500,GBP,4900
7337,CL,Santiago,Line 7,2021,2026,24.8,24.8,21,2900,USD,4930
7338,CL,Santiago,Project 63,2013,2019,37,37,28,3000,USD,5100
7339,BR,Sao Paulo,Line 5 extension,2010,2019,12,12,11,6900,BRL,3795
7344,BR,Salvador,Lines 1-2,2000,2017,33,1.4,20,4800,BRL,2976
7345,PA,Panama City,Line 1,2010,2014,13.7,7.3,12,2009,USD,3495.66
7346,PA,Panama City,Line 2,2015,2019,21,0,16,2130,USD,4281.3
7347,PA,Panama City,Line 3,2020,2024,26.7,0,14,2507,USD,5214.56
7352,PH,Manila,Line 9,2019,2025,28.3,28.3,13,356960,PHP,19632.8
7353,PH,Manila,Line 7,2015,2021,22.8,3.4,14,69300,PHP,3811.5
7354,PH,Manila,Line 5,2019,2025,11,11,10,2500,USD,6650
7355,PH,Manila,Line 4,2021,2025,15.6,0,11,59300,PHP,3261.5
7360,AT,Vienna,Line 2 extension,2010,2013,4.2,0,3,320,EUR,416
7361,AT,Vienna,Line 1 extension,2012,2017,4.7,2.7,5,600,EUR,780
7362,AT,Vienna,U2/U5 cross,2019,2029,9,9,11,2200,EUR,2860
7363,IN,Kochi,Metro,2013,2017,13,0,11,51810,INR,2694.12
7368,IN,Delhi,Phase 3,2012,2020,160.6,53,109,410790,INR,20539.5
7369,IN,Delhi,Phase 4 first half,2019,2025,61.7,22.3,46,249487,INR,11725.8655
7370,IN,Delhi,Phase 4 second half,2019,2025,42.3,14.7,43,215364,INR,10122.0845
7371,IR,Tehran,Line 3 extension to SW,2012,2014,12,12,11,20000000,IRR,2400
7376,IR,Tehran,Line 6,NA,2020,31,31,29,90000000,IRR,5760
7377,IR,Tehran,Line 7,NA,2019,27,27,25,90000000,IRR,5760
7378,ES,Madrid,1995-98 program,1995,1998,56,38,37,1579,EUR,1973.75
7379,ES,Madrid,1999-2003 program,1999,2003,75,58,39,3157,EUR,3946.25
7384,PT,Lisbon,Circular line,2021,2023,2,2,2,216,EUR,280.8
7385,PT,Porto,"Pink line, yellow line",2019,2023,6,2.8,7,308,EUR,400.4
7386,ES,Madrid,Eje Transversal,2020,2028,10.5,10.5,4,760,EUR,988
7387,ES,Madrid,Line 2 extension,2008,2011,4.6,4.6,4,315,EUR,409.5
7392,ES,Madrid,Line 9 extension,2009,2015,3,3,2,191,EUR,248.3
7393,EC,Quito,Metro,2012,2019,22.9,22.9,15,2010,USD,3819
7394,ES,Madrid,Chamartin-Atocha tunnel,2003,2008,7.5,7.5,3,550,EUR,687.5
7395,FR,Paris,Line 14,1993,2007,9.2,9.2,9,1211,EUR,1514
7400,CA,Toronto,Sheppard,1994,2002,5.5,5.5,5,1000,CAD,810
7401,CA,Montreal,Laval extension,2001,2007,5.2,5.2,3,745,CAD,603.45
7402,DE,Karlsruhe,Kombilösung,2010,2021,4.8,4.8,6,1457,EUR,1894.49
7403,DE,Dusseldorf,Wehrhahn Line,2007,2016,3.4,3.4,6,929,EUR,1207.7
7408,US,New York,7 extension,2007,2014,1.6,1.6,1,2400,USD,2400
7409,US,New York,Second Avenue Phase 1,2007,2016,2.7,2.7,3,4450,USD,4450
7410,US,New York,Second Avenue Phase 2,2019,2029,2.6,2.6,3,6390,USD,6390
7411,US,New York,East Side Access,2007,2022,2.8,2.8,1,11000,USD,11000
7416,US,New York,Gateway,2019,2026,5.3,5.3,0,9500,USD,9500
7417,UK,London,Crossrail,2009,2021,21,21,8,13328,GBP,18659.2
7418,FR,Paris,Line 4 to Bagneux,2014,2021,1.8,1.8,2,380,EUR,494
7419,FR,Paris,RER E extension,2018,2022,8,8,2,1800,EUR,2340
7424,FR,Paris,Line 4 to Montrouge,2008,2013,1.5,1.5,1,185,EUR,240.89
7425,FR,Paris,Line 8 to Pointe-du-Lac,2007,2011,1.3,0,1,83,EUR,103.75
7426,FR,Paris,Line 13 to Courtilles,2005,2008,1.9,1.9,2,158,EUR,197.5
7427,FR,Paris,Line 12 to Front Populaire,2007,2012,1.5,1.5,1,295,EUR,383.5
7432,FR,Paris,Line 11,2016,2023,5.4,5.4,6,1084,EUR,1409.2
7433,IL,Tel Aviv,Red Line,2015,2022,24,12,34,17600,NIS,4716.8
7434,IL,Tel Aviv,Green Line,2018,2024,38.6,4.6,62,20000,NIS,5360
7435,NZ,Auckland,City Rail Link,2013,2024,3.5,3.5,4,4419,NZD,2991.663
7440,DE,Hamburg,U4 to HafenCity U,2007,2012,3.9,3.9,2,326,EUR,424.19
7441,DE,Hamburg,U4 to Elbbrücken,2014,2018,1.3,1.3,1,178,EUR,231.4
7443,ES,Barcelona,L3 to Trinitat Nova,2001,2008,1.9,1.9,2,151,EUR,188.75
7448,ES,Barcelona,Terrassa tunnel,2008,2015,4.5,4.5,3,401,EUR,521.3
7449,ES,Barcelona,Sabadell tunnel,2006,2017,4.4,4.4,4,430,EUR,559
7450,ES,Barcelona,L2 to Badalona,2006,2010,0.7,0.7,1,70,EUR,87.5
7451,ES,Barcelona,L5 to Vall d'Hebron,2007,2010,2.5,2.5,3,320,EUR,400
7456,ES,Barcelona,L9/10,2003,2026,47.8,43.7,52,5954,EUR,7740.2
7457,ES,Bilbao,Line 3,2007,2016,5.9,5.6,7,279,EUR,362.7
7458,ES,Seville,Line 1,2003,2009,18.2,11.6,22,892,EUR,1115
7459,ES,Malaga,Lines 1-2,2006,2014,11.3,9.2,17,870,EUR,1131
7464,BD,Dhaka,Line 6,2015,2021,20,0,16,220000,BDT,7040
7465,BD,Dhaka,Line 1,2020,2026,31.2,20,19,525610,BDT,16819.52
7466,BD,Dhaka,Line 5,2020,2028,19.6,14,14,412380,BDT,13196.16
7467,ID,Jakarta,MRT first phase,2013,2019,15.7,5.9,13,13776070,IDR,2934.30291
7472,FR,Lyon,Line A to Vaulx,2005,2007,1,1,1,53,EUR,66.25
7473,FR,Lyon,Line B to Oullins,2009,2013,1.8,1.8,1,222,EUR,288.6
7474,FR,Lyon,Line B to Hospital-Sud,2017,2023,2.5,2.5,2,394,EUR,512.2
7475,PK,Lahore,Orange Line,2015,2020,27.1,1.6,26,183000,PKR,6039
7480,TH,Bangkok,Sukhumvit Line to Kheka,2012,2018,12.8,0,9,21904,THB,1905.648
7481,TH,Bangkok,Sukhumvit Line to Khu Khot,2015,2020,19,0,16,58862,THB,4767.822
7482,TH,Bangkok,Blue Line extension,2011,2020,26.9,5.4,19,71687,THB,5806.647
7488,TH,Bangkok,Pink Line,2017,2022,34.5,0,30,56725,THB,4594.725
7489,TH,Bangkok,Yellow Line,2017,2022,30.4,0,23,54768,THB,4436.208
7490,TH,Bangkok,Orange Line,2017,2025,35.9,27,28,235320,THB,19060.92
7491,TH,Chiang Mai,Red Line,2022,2027,15.8,7.2,12,27000,THB,2187
7496,VN,Ho Chi Minh City,Line 1,2012,2021,19.7,2.6,14,43600000,VND,5493.6
7497,VN,Ho Chi Minh City,Line 2 first phase,2020,2026,11.3,9.3,11,48000000,VND,6048
7498,VN,Ho Chi Minh City,Line 5 first phase,2025,2029,8.9,7.5,7,41600000,VND,5241.6
